ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,POV,Citation
557,ENG,the director himself will talk to us,the	director	himself	will	talk	to	us,ART	director	INT	FUT	talk	to	us,The director himself will talk to us.,,,,adnominal,the authors
558,ENG,I have swept the court myself,I	have	swept	the	court	myself,I	have	swept	ART	court	INT,I have swept the court myself.,,,,adv exclusive,the authors
559,ENG,I don’t have money myself.,I	don’t	have	money	myself.,I	AUX-NEG	have	money	INT,I don't have money myself.,,,,adv inclusive,the authors
560,ENG,Paul saw himself in the mirror.,Paul	saw	himself	in	the	mirror.,Paul	saw	REFL	in	ART	mirror,Paul saw himself in the mirror.,,,,reflexive,the authors
561,GER,der Direktor selbst wird mit uns sprechen.,der	Direktor	selbst	wird	mit	uns	sprechen.,ART	director	INT	will	with	us	speak,The director himself will talk to us.,,,-,adnominal,the authors
562,GER,Olga unterrichtet ihre Kinder selbst,Olga	unterrichtet	ihre	Kinder	selbst,Olga	teaches	her	children	INT,Olga teaches her children herself.,,,-,adv exclusive,the authors
563,GER,Leider nicht. Ich habe selbst kein Geld,Leider	nicht.	Ich	habe	selbst	kein	Geld,Unfortunately	not.	I	have-1.SG.PRS	INT	no	money,I'm sorry. I don't have money myself,,,,adv inclusive,the authors
564,GER,Monica wohnt in der-selben Straße wie Bill,Monica	wohnt	in	der-selben	Straße	wie	Bill,Monica	lives	in	ART-IDEM	street	as	Bill,Monica lives in the same street as Bill does.,,,IDEM: token identity,idem,the authors
565,GER,der Direktor höchstpersönlich kam zu dem Treffen,der	Direktor	höchstpersönlich	kam	zu	dem	Treffen,ART	director	INT	came	to	the	meeting,The director personally came to the meeting.,,,,adnominal,the authors
566,GER,der Direktor wird die Rede höchstpersönlich halten,der	Direktor	wird	die	Rede	höchstpersönlich	halten,ART	director	will	the	speech	INT	give,The director in person will give the speech,,,,adv exclusive,the authors
567,GER,es war der Teufel leibhaftig,es	war	der	Teufel	leibhaftig,it	was	ART	devil	INT,It was the devil himself,,,,adnominal,the authors
568,GER,Gott ist ihr leibhaftig erschienen,Gott	ist	ihr	leibhaftig	erschienen,God	is	her(DAT)	personally	revealed.oneself,God revealed himself (personally) to her.,,,,adv exclusive,the authors
569,SHD,màmbò á-èndà pachá-ké,màmbò	á-èndà	pachá-ké,chief	NC1.3SG-come	INT-3SG.POSS,The chief came himself.,,,NC: nominal class marker,adv exclusive,"Carola Emkow, p.c."
570,JPN,Taro-wa jibun-gaa oo-ibiki-wo kaita,Taro-wa	jibun-gaa	oo-ibiki-wo	kaita,Taro-TOP	INT-NOM	loudly	snored,Taro snored loudly himself.,,,,adv inclusive,Akio Ogawa (p.c.)
571,CHN,bùzhăng zìjĭ huì lái huānyíng wŏmen,bùzhăng	zìjĭ	huì	lái	huānyíng	wŏmen,minister	INT	will	come	welcome	we,The minister himself will welcome us.,,,,adnominal,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
572,CHN,nĭ wèishénme bu zìjĭ xĭ ne?,nĭ	wèishénme	bu	zìjĭ	xĭ	ne?,you	why	not	INT	wash	PRT,Why don't you do your washing yourself?,,,PRT: particle,adv exclusive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
573,CHN,Lăowáng bù xĭhuan zìjĭ,Lăowáng	bù	xĭhuan	zìjĭ,Laowang	not	like	INT,Laowang does not like himself.,,,,reflexive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
574,CHN,Lăowáng kànjiàn-le zìjĭ,Lăowáng	kànjiàn-le	zìjĭ,Laowang	look.at-ASP	INT,Laowang has seen himself.,,,,reflexive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
575,CHN,wŏ yŏu wŏ zìjĭ-de yàosh,wŏ	yŏu	wŏ	zìjĭ-de	yàosh,1SG	have	1SG	INT-ATTR	key,I have a key of my own/my own key.,,,ATTR: attributive marker,own,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
576,CHN,kĕshì diànyĭng bĕnshēn què hái kànbudào,kĕshì	diànyĭng	bĕnshēn	què	hái	kànbudào,but	film	INT	but	still	cannot.see,But the movie itself is not yet on show.,,,,adnominal,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
577,CHN,lǜzhōu bĕnshēn yŏu zúgòu-de shuĭ,lǜzhōu	bĕnshēn	yŏu	zúgòu-de	shuĭ,oasis	INT	have	enough-ATTR	water,"In the oasis itself, there is enough water.",,,ATTR: attributive,adnominal,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
578,CHN,bùzhăng (tā) bĕnrén hùi lái huānyíng wŏmen,bùzhăng	(tā)	bĕnrén	hùi	lái	huānyíng	wŏmen,minister	(he)	INT	will	come	welcome	us,The director himself will welcome us.,,,,adnominal,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
579,CHN,"nĭ kàn, tā qīnzì cā-le dìbăn","nĭ	kàn,	tā	qīnzì	cā-le	dìbăn",you	see	he	INT	wipe-ASP	floor,"Look, (s)he wiped the floor himself/herself.",,,,adv exclusive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
580,CHN,wŏ zŏngshi qīnshŏu/zìjĭ bă xìn dăkāi,wŏ	zŏngshi	qīnshŏu/zìjĭ	bă	xìn	dăkāi,I	always	with.own.hand/INT	PRT	letter	open,I always open letters myself.,,,"When <i>zŏngshi</i> has a falling tone on the second syllable, the (temporal) universal quantification expressed by that element is stressed; as Li Xiaoting has pointed out to us, the sentence is more natural with <i>zŏngshì</i> than with <i>zŏngshi</i> if no context is provided; CL: clitic",adv exclusive,"Daniel Hole (f.w.), source informant Hsin-yun Liu"
581,PBI,mətsəha ba mudarə-mena [menə da zlihə-wanana],mətsəha	ba	mudarə-mena	[menə da zlihə-wanana],director	with	head-his	[will welcome us],The director himself will welcome us.,,,,adnominal,Carola Emkow (p.c.)
582,PBI,awurə letre maye ya baklazara [ba mudarə maya],awurə	letre	maye	ya	baklazara	[ba	mudarə	maya],open	letters	my	I	always	[with	head	my]=INT,I always open my letters myself.,,,,adv exclusive,Carola Emkow (p.c.)
583,PBI,neŋa na-ne sləðabi popə ba mudarə-mena la,neŋa	na-ne	sləðabi	popə	ba	mudarə-mena	la,see.PST	NEG-1.PL	disciple	Pope	with	head-his	NEG,We did not see the cardinal himself.,,,,adnominal,Carola Emkow (p.c.)
584,GER,der Past höchstselbst sprach mit mir,der	Past	höchstselbst	sprach	mit	mir,ART	Pope	INT	talked	to	me,The pope in person talked to me,,,,adnominal,the authors
585,NAV,t´áá shíní naashné,t´áá	shíní	naashné,INT	1SG.PRON+SUFFIX(deriv)	I am playing,I myself am playing.,,,,adnominal,questionnaire (anonymous source informant)
586,PBI,aneklaya təgu ŋgala,aneklaya	təgu	ŋgala,key	own	mine,I have got a key of my own.,,,,own,Carola Emkow (p.c.)
587,PBI,təguwayə laki ndatekweshə ŋga-yə watarəŋa akə shewariya kəŋa-la,təguwayə	laki	ndatekweshə	ŋga-yə	watarəŋa	akə	shewariya	kəŋa-la,Personally	CONTR	thing	can-I	say	to	decision	this-NEG,"Personally, I don't mind this decision.",,,,adnominal,Carola Emkow (p.c.)
588,SHD,Fáráí hà-á-ná ku-zvì-ìtira ógà,Fáráí	hà-á-ná	ku-zvì-ìtira	ógà,Farai	NEG-NC1.3SG-have	INF-REFL-make.APPL	alone,Farai has not done it himself.,,,NC: nominal class marker,adv exclusive,"Carola Emkow, p.c."
589,SNN,n yinmé ya da foton’ wuttu,n	yinmé	ya	da	foton’	wuttu,I	INT	EMPH	PRED	picture	take,I took the picture myself.,,,PRED: predicative auxiliary,adv exclusive,"Carola Emkow, p.c."
590,GER,selbst der Präsident kam zur Eröffnung der Ausstellung,selbst	der	Präsident	kam	zur	Eröffnung	der	Ausstellung,even	ART	president	came	to.the	opening	of.the	exhibtion,Even the president came to the opening of the exhibtion,,,,focus particle,the authors
591,SHD,ìní pachá-ngù hà-ndì-né màrí,ìní	pachá-ngù	hà-ndì-né	màrí,I	INT-3SG.POSS	NEG-NC1.1SG-have	money,I myself don't have money.,,,NC: nominal class marker,adnominal,"Carola Emkow, p.c."
592,SHD,ìrò rokwe pachá-ró í-díkì,ìrò	rokwe	pachá-ró	í-díkì,DEM	dress	INT-NC5/6.3SG.POSS	PRED.ADJ-small,The dress itself is small/short.,,,NC: nominal class marker; PRED.ADJ: predicative adjective,adnominal,"Carola Emkow, p.c."
593,SHD,íyè mukúrúmukúrú áchátàùrànésu pachá-ké,íyè	mukúrúmukúrú	áchátàùrànésu	pachá-ké,he	director	he.will.speak.with.us	INT-3SG.POSS,The director himself will talk to us.,,,NC: nominal class marker,adnominal,"Carola Emkow, p.c."
594,YDD,der direktor aleyn/gufe vet undz ufnemen,der	direktor	aleyn/gufe	vet	undz	ufnemen,ART	director	INT	will	us	welcome,The director himself will welcome us.,,,,adnominal,questionnaire (source informant: Adam Albright)
595,YDD,inem oazis gufe/aleyn iz´s [faran genug] vaser,inem	oazis	gufe/aleyn	iz´s	[faran genug]	vaser,in.the	oasis	INT	is.it	enough	water,In the oasis itself there is enough water.,,,,adnominal,questionnaire (source informant: Adam Albright)
596,SNN,khirce yinmé ya na bissimilana,khirce	yinmé	ya	na	bissimilana,director	INT	EMPH	will	receive,The director himself will welcome us.,,,-,adnominal,"Carola Emkow, p.c."
597,SNN,watiki i yinmé ma buro,watiki	i	yinmé	ma	buro,desease	it	INT	PRED(NEG)	dangerous,The illness itself is not dangerous.,,,PRED: predicative auxiliary,adnominal,"Carola Emkow, p.c."
598,ZOC,[maŋba minu] Y-neʔkɨ,[maŋba minu]	Y-neʔkɨ,will.come	3.POSS-INT,He himself will come.,,,&lt;Y&gt;: indicates palatalization of the following consonant,adnominal,"Gast, Volker (p.c.)"
599,MEX,izaho ihany no manokatra ny taratasi-ko,izaho	ihany	no	manokatra	ny	taratasi-ko,I	only	FOC	open	DET	letter-1SG.POSS,I always open my letters myself.,,,-,adv exclusive,Carola Emkow (p.c.)
600,MEX,izaho ihany no n-aka ny sary,izaho	ihany	no	n-aka	ny	sary,I	only	FOC	PAST-take	DET	picture,I took the picture myself.,,,-,adv exclusive,Carola Emkow (p.c.)
612,MEX,ny raimpianakaviana mihitsy no maty.,ny	raimpianakaviana	mihitsy	no	maty.,the	father.of.family	indeed	FOC	dead,The father himself dies.,,,"FOC: focus particle; <i>mihitsy</i> is used if the head NP is a full noun phrase; with pronouns, <i>tena</i> is regularly used",adnominal,Charles Randriamasimanaga (WALS expert mail)
613,MEX,Ilay trano mihitsy no niantonta.,Ilay	trano	mihitsy	no	niantonta.,the	house	indeed	FOC	collapsed,The house itself collapsed.,,,FOC: focus particle; <i>mihitsy</i> is possible with inanimate head NPs,adnominal,Charles Randriamasimanaga (WALS expert mail)
614,PJT,mama-nyanga-nku iluringu,mama-nyanga-nku	iluringu,father-DEM-REFL	died,The father himself died.,,,DEM: demonstrative is used as an article here,adnominal,Heather Bowe (p.c.)
615,PJT,mama-ngku-nku ila-Nta-nu,mama-ngku-nku	ila-Nta-nu,dead-CAUSE-PAST-REFL.3SG	father-ERG,Father killed himself.,,,capital letters indicate retroflex articulation.,reflexive,Heather Bowe (p.c.)
616,PJT,ilu-Nta-nu-nku paluRu,ilu-Nta-nu-nku	paluRu,dead-CAUSE-PAST-REFL.3SG	3SG.NOM,He killed himself.,,,capital letters indicate retroflex articulation,reflexive,Heather Bowe (p.c.)
617,KIN,á-r-íiy-áang-a,á-r-íiy-áang-a,3SG-PRES-REFL-hates-IMPF,He hates himself.,,,---,reflexive,Carola Emkow (p.c.)
618,KIN,perezida ub-we á-zaa-tw-akira,perezida	ub-we	á-zaa-tw-akira,president	[PREP-3SG.POSS]=INT	3SG-FUT-1PL.OBJ-receive,The president himself will welcome us.,,,---,adnominal,Carola Emkow (p.c.)
619,KIN,nda-shaka ku-vúga-na na direkteri ub-we,nda-shaka	ku-vúga-na	na	direkteri	ub-we,1SG.PRES-want	INF-speak-SOC	with	director	[PREP-3SG.POSS]=INT,I want to talk to the director himself.,,,SOC: sociative,adnominal,Carola Emkow (p.c.)
620,KIN,devoirs á-ra-z-íi-kór-er-a,devoirs	á-ra-z-íi-kór-er-a,homework	3SG-PRES-OBJ-REFL-do-APPL-IMPF,He does his homework himself.,,,Reflexive is used in combination with an applicative marker to indicate adverbial-exclusive meaning.,adv exclusive,Carola Emkow (p.c.)
621,SHD,á-ká-zvì-rwádzísá,á-ká-zvì-rwádzísá,NC1.3SG-PAST-REFL-suffer.CAUS,He hurt himself.,,,-,reflexive,"Carola Emkow, p.c."
622,SHD,ndì-né-ìmbá-yá-ngù nd-égà ndíní,ndì-né-ìmbá-yá-ngù	nd-égà	ndíní,I-have-house-NC9.GEN-1SG.POSS	NC1.1SG-alone	I.am,I have a house of my own.´(lit.: 'I am with a house I alone'),,,NC: nominal class marker,own,"Carola Emkow, p.c."
623,SHD,kunyàngè mukúrúmukúrú hà-á-ná kúyá pa ku-vhùrà,kunyàngè	mukúrúmukúrú	hà-á-ná	kúyá	pa	ku-vhùrà,even	director	NEG-NC1.3SG-have	come	to	INF-open,Even the director didn't attend the meeting (lit.: did not come to the opening).,,,NC: nominal class marker,scalar focus particle,"Carola Emkow, p.c."
626,SNN,a (yinmé) da du xoni,a	(yinmé)	da	du	xoni,he	(INT)	PRED	REFL	hate,He hated himself.,,,PRED: predicative auxiliary <i>yinmé</i> is optional,reflexive,"Carola Emkow, p.c."
627,SNN,an yinmé lemne ya ni ke,an	yinmé	lemne	ya	ni	ke,POSS.PRO	INT	child	EMPH	PRED	this,Is this your own child?,,,EMPH: emphatic; PRED: predicative auxiliary,own,"Carola Emkow, p.c."
628,WOF,Olga ci bopp-am mooy jang-al ay dom-am,Olga	ci	bopp-am	mooy	jang-al	ay	dom-am,Olga	PREP	head-POSS.3SG	EMPH.SUBJ	teach-BEN	INDEF	child-POSS.3SG,Olga teaches her child herself.,,,BEN: benefactive; EMPH.SUBJ: emphatic subject construction,adv exclusive,"Carola Emkow, p.c., source informant: Moctar Kamara"
629,WOF,directeur bi ci bopp-am dina wax-ak nun,directeur	bi	ci	bopp-am	dina	wax-ak	nun,director	ART	with	head-POSS.3SG	will	speak-with	us,The director himself will talk to us.,,,,adnominal,"Carola Emkow, p.c., source informant: Moctar Kamara"
630,SHI,Paul arrissaoual d-[agayu-nss],Paul	arrissaoual	d-[agayu-nss],Paul	speak	with-[head-POSS.3SG.MASC]=REFL,Paul is speaking with himself.,,,,reflexive,"Carola Emkow, p.c."
631,SHI,lmoudir [agayu-ns],lmoudir	[agayu-ns],director	[head-POSS.3SG.MASC]=REFL,the director himself,,,-,adnominal,"Carola Emkow, p.c."
632,SHI,lmoudir [nttan nit] [aragim smuqol].,lmoudir	[nttan	nit]	[aragim smuqol].,director	[PRON.3SG.MASC	nit]=INT	[will welcome us],The director himself will welcome us.,,,,adnominal,"Carola Emkow, p.c."
633,SHI,sskrrh tssourira nkki nit,sskrrh	tssourira	nkki	nit,make	picture	[PRON.1.SG.MASC	nit]=INT,I took the picture myself.,,,,adv exclusive,"Carola Emkow, p.c."
634,SHI,tamadont [ntta nit] our tchqt,tamadont	[ntta	nit]	our	tchqt,illness	[PRON3.SG.FEM	nit]=INT	NEG	dangerous,The illness itself is not dangerous.,,,,adnominal,"Carola Emkow, p.c."
635,LVK,nana ona nga-muan ngale fi lame.,nana	ona	nga-muan	ngale	fi	lame.,mirror	in.it	POSS.1.SG-INT	me.see	FOC	HAB,I see myself in the mirror.,,,HAB: habitual,reflexive,"Angela Terrill, WALS expert mail"
636,LVK,le-muan tuna ngoa memal foel,le-muan	tuna	ngoa	memal	foel,POSS.1.DUEX-INT	be.really	stay	HAB	FOC,We two live completely alone (by ourselves).,,,HAB: habitual; DUEX: dual exclusive,adv exclusive,"Angela Terrill, WALS expert mail"
637,LVK,ngai koroi-a uia ona,ngai	koroi-a	uia	ona,I	chop-INTR	knife	in.it,I cut myself with a knife.,,,INTR: intransitiviser,reflexive,"Angela Terrill, WALS expert mail"
638,NHG,naha nı-pɔblo nemiečıhkwılfıa ini nɔnka tlahpalulıstlı ka belaha no-mɔ,naha	nı-pɔblo	nemiečıhkwılfıa	ini	nɔnka	tlahpalulıstlı	ka	belaha	no-mɔ,I	1SG.PRON-Paul	I.write.to.you	DET	DEM	greetings	with	INT	1SG.POSS-hand,"I, Paul, write these greetings to you with my own hand.",,,,own,"Colossians 4, 18 (Wycliffe)"
639,INZ,bunuh diri aja la aku,bunuh	diri	aja	la	aku,kill	REFL	just	CONTR	I,I'll just kill myself.,,,,reflexive,David Gil (p.c.)
640,INZ,bodoh dia nembak diri sendiri,bodoh	dia	nembak	diri	sendiri,stupid	he	shoots	REFL	INT,"Stupid, he's shooting himself.",,,,reflexive,David Gil (p.c.)
641,INZ,saya tembak sendiri,saya	tembak	sendiri,I	shoot	INT,I shot myself.,,,,reflexive,David Gil (p.c.)
642,INZ,abang dia sendiri dia usir,abang	dia	sendiri	dia	usir,elder.brother	he	INT	he	send.away,His own brother he sent away.,,,,own,David Gil (p.c.)
643,INZ,ini putar sendiri,ini	putar	sendiri,DEM.PROX	revolve	INT,It's going around by itself.,,,,adv exclusive,David Gil (p.c.)
644,INZ,mister sendiri yang kasi,mister	sendiri	yang	kasi,white.person	INT	REL	give,"Mister, you yourself gave them to me.",,,,adnominal,David Gil (p.c.)
645,PBI,kaðavə Ø bə ina,kaðavə	Ø	bə	ina,kills	(he)	PREP	him,He kills himself.,,,,reflexive,Carola Emkow (p.c.)
500,JPN,watashi-jishin-wa imanotokoro [himaga nai],watashi-jishin-wa	imanotokoro	[himaga nai],I-INT-TOP	in.the.moment	[not.have.time],I myself do not have time now.,,,"In contrastive topic constructions, <i>jishin</i> and <i>wa</i> (can?) cooccur",adnominal,"Ogawa, A. (1998). Emphatische Reflexiva im Sprachvergleich: Deutsch-Japanisch. <i>STUF</i> 51, 164-178."
501,KSH,koorev sajoov panun paan,koorev	sajoov	panun	paan,girls.ERG	decorated	INT	REFL,The girls decorated themselves.,,,,reflexive,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton."
502,KSH,mohbath chu paan-as karaan,mohbath	chu	paan-as	karaan,love	be	REFL-DAT	do-PRS.PART,He loves himself.,,,,reflexive,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton."
503,KSH,kitaab peyı paan-ay,kitaab	peyı	paan-ay,book	fell	[REFL-EMPH]=INT,The book fell by itself.,,,anti-causative use of intensifier,adv exclusive,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton."
504,KSH,səliim-an vuch *paan / panun paan əənas manz,səliim-an	vuch	*paan	/	panun	paan	əənas	manz,Salim-ERG	saw	REFL	/	INT	REFL	mirror	in,Salim saw himself in the mirror.,,,,reflexive,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton."
505,KSH,miira cha panun garı gatshaan,miira	cha	panun	garı	gatshaan,Mira	is	INT	house	go.PRES.PART,Mira is going to her own house.,,,,own,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton."
506,KKN,John-i caki salanghanta,John-i	caki	salanghanta,John-NOM	REFL	loves.,John loves himself.,,,,reflexive,Yong-Suck Kim (http://www.udel.edu/pcole/Y_S_Kim.html)
507,KKN,John-i [Mary-ka [neyka caki salanghantako] sayngkakhantako] malhayssta,John-i	[Mary-ka	[neyka	caki	salanghantako]	sayngkakhantako]	malhayssta,John-NOM	[Mary-NOM	[you-NOM	REFL	loves]	thinks]	said,John said that Mary thought that you loved her/him.,,,long-distance bound use of <i>caki</i>,reflexive,Yong-Suck Kim (http://www.udel.edu/pcole/Y_S_Kim.html)
509,PNJ,raam [apNe aap] naaL boLiaa,raam	[apNe aap]	naaL	boLiaa,Ram	INT	with	spoke,Ram talked with himself.,,,intensifier in reflexive context,reflexive,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
510,PNJ,raam [apNe aap] aaiaa,raam	[apNe aap]	aaiaa,Ram	INT	came,Ram personally came.,,,,adnominal,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
511,PNJ,ó-ne xud(-ne) aakhiaa,ó-ne	xud(-ne)	aakhiaa,he-ERG	INT(-ERG)	said,He himself said:...,,,,adnominal,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
512,PNJ,ó-ne aap akhiaa,ó-ne	aap	akhiaa,he-ERG	INT	said,He himself said...,,,,adnominal,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
513,PNJ,xud/aapne nuu shiishe vicc vekniaa,xud/aapne	nuu	shiishe	vicc	vekniaa,INT	POSTP	mirror	in	vekhiaa,...(he) looked at himself in the mirror.,,,,reflexive,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
514,PNJ,apNaa kàr sadaa sukhaar,apNaa	kàr	sadaa	sukhaar,own	home	always	comfortable,One's (own) home is a paradise.,,,,own,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton."
515,TCW,waaDu (tana maTuku) tan-ee ii pani ceyya galaDu,waaDu	(tana	maTuku)	tan-ee	ii	pani	ceyya	galaDu,he	(ANPH.POSS	as.for)	[ANPH-EMPH]=INT	this	work	can	do,He can do this work himself.,,,ANPH: anaphor,adv exclusive,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>."
516,TSK,"žu-s̄-e ma|ʔallimɨs̄e d<sub>j</sub>a|wXu ha|l<sub>j</sub>aʔas pɨrmer, zɨ ha|l<sub>j</sub>aʔuna","žu-s̄-e	ma|ʔallimɨs̄e	d<sub>j</sub>a|wXu	ha|l<sub>j</sub>aʔas	pɨrmer,	zɨ	ha|l<sub>j</sub>aʔuna",INT.1.OBL-ADESS-ELA	teacher.OBL.ADESS.ELA	not.can	solve.POT	problem.NOM	I.ERG	solved.it,"The teacher himself couldn't solve the problem, but I did.",,,,adnominal,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins."
517,TSK,ič-e: že-l-e a|qana haʔa,ič-e:	že-l-e	a|qana	haʔa,girl-ERG	REFL.OBL-SUPERESS-ELA	laugh	did,The girl is laughing at her(self).,,,OBL: oblique; ELA: elative; SUPERESS: superessive (location)<br>local or discourse binding of the anaphor,reflexive,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins."
518,TSK,rasul-e: wuž-e: wuž getu,rasul-e:	wuž-e:	wuž	getu,Rasul-ERG	INT-ERG	REFL.NOM	beat,Rasul beat himself.,,,,reflexive,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins."
