Nr,language,pov,original,gloss,translation,source,page,comments
566,German,adv exclusive,der</td><td>Direktor</td><td>wird</td><td>die</td><td>Rede</td><td>höchstpersönlich</td><td>halten,ART</td><td>director</td><td>will</td><td>the</td><td>speech</td><td>INT</td><td>give,The director in person will give the speech,the authors,-,--
567,German,adnominal,es</td><td>war</td><td>der</td><td>Teufel</td><td>leibhaftig,it</td><td>was</td><td>ART</td><td>devil</td><td>INT,It was the devil himself,the authors,-,--
568,German,adv exclusive,Gott</td><td>ist</td><td>ihr</td><td>leibhaftig</td><td>erschienen,God</td><td>is</td><td>her(DAT)</td><td>personally</td><td>revealed.oneself,God revealed himself (personally) to her.,the authors,-,--
569,Shona,adv exclusive,màmbò</td><td>á-èndà</td><td>pachá-ké,chief</td><td>NC1.3SG-come</td><td>INT-3SG.POSS,The chief came himself.,"Carola Emkow, p.c.",-,NC: nominal class marker
570,Japanese,adv inclusive,Taro-wa</td><td>jibun-gaa</td><td>oo-ibiki-wo</td><td>kaita,Taro-TOP</td><td>INT-NOM</td><td>loudly</td><td>snored,Taro snored loudly himself.,Akio Ogawa (p.c.),-,--
571,Mandarin Chinese,adnominal,bùzh&#259;ng</td><td>zìj&#301;</td><td>huì</td><td>lái</td><td>hu&#257;nyíng</td><td>w&#335;men,minister</td><td>INT</td><td>will</td><td>come</td><td>welcome</td><td>we,The minister himself will welcome us.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
572,Mandarin Chinese,adv exclusive,n&#301;</td><td>wèishénme</td><td>bu</td><td>zìj&#301;</td><td>x&#301;</td><td>ne?,you</td><td>why</td><td>not</td><td>INT</td><td>wash</td><td>PRT,Why don't you do your washing yourself?,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,PRT: particle
573,Mandarin Chinese,reflexive,L&#259;owáng</td><td>bù</td><td>x&#301;huan</td><td>zìj&#301;,Laowang</td><td>not</td><td>like</td><td>INT,Laowang does not like himself.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
574,Mandarin Chinese,reflexive,L&#259;owáng</td><td>kànjiàn-le</td><td>zìj&#301;,Laowang</td><td>look.at-ASP</td><td>INT,Laowang has seen himself.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
575,Mandarin Chinese,own,w&#335;</td><td>y&#335;u</td><td>w&#335;</td><td>zìj&#301;-de</td><td>yàosh,1SG</td><td>have</td><td>1SG</td><td>INT-ATTR</td><td>key,I have a key of my own/my own key.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,ATTR: attributive marker
576,Mandarin Chinese,adnominal,k&#277;shì</td><td>diàny&#301;ng</td><td>b&#277;nsh&#275;n</td><td>què</td><td>hái</td><td>kànbudào,but</td><td>film</td><td>INT</td><td>but</td><td>still</td><td>cannot.see,But the movie itself is not yet on show.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
577,Mandarin Chinese,adnominal,l&#476;zh&#333;u</td><td>b&#277;nsh&#275;n</td><td>y&#335;u</td><td>zúgòu-de</td><td>shu&#301;,oasis</td><td>INT</td><td>have</td><td>enough-ATTR</td><td>water,"In the oasis itself, there is enough water.","Daniel Hole (f.w.), source informant Hsin-yun Liu",-,ATTR: attributive
578,Mandarin Chinese,adnominal,bùzh&#259;ng</td><td>(t&#257;)</td><td>b&#277;nrén</td><td>hùi</td><td>lái</td><td>hu&#257;nyíng</td><td>w&#335;men,minister</td><td>(he)</td><td>INT</td><td>will</td><td>come</td><td>welcome</td><td>us,The director himself will welcome us.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
579,Mandarin Chinese,adv exclusive,"n&#301;</td><td>kàn,</td><td>t&#257;</td><td>q&#299;nzì</td><td>c&#257;-le</td><td>dìb&#259;n",you</td><td>see</td><td>he</td><td>INT</td><td>wipe-ASP</td><td>floor,"Look, (s)he wiped the floor himself/herself.","Daniel Hole (f.w.), source informant Hsin-yun Liu",-,--
580,Mandarin Chinese,adv exclusive,w&#335;</td><td>z&#335;ngshi</td><td>q&#299;nsh&#335;u/zìj&#301;</td><td>b&#259;</td><td>xìn</td><td>d&#259;k&#257;i,I</td><td>always</td><td>with.own.hand/INT</td><td>PRT</td><td>letter</td><td>open,I always open letters myself.,"Daniel Hole (f.w.), source informant Hsin-yun Liu",-,"When <i>z&#335;ngshi</i> has a falling tone on the second syllable, the (temporal) universal quantification expressed by that element is stressed; as Li Xiaoting has pointed out to us, the sentence is more natural with <i>z&#335;ngshì</i> than with <i>z&#335;ngshi</i> if no context is provided; CL: clitic"
581,Podoko,adnominal,m&#601;ts&#601;ha</td><td>ba</td><td>mudar&#601;-mena</td><td>[men&#601;&nbsp;da&nbsp;zlih&#601;-wanana],director</td><td>with</td><td>head-his</td><td>[will&nbsp;welcome&nbsp;us],The director himself will welcome us.,Carola Emkow (p.c.),-,--
582,Podoko,adv exclusive,awur&#601;</td><td>letre</td><td>maye</td><td>ya</td><td>baklazara</td><td>[ba</td><td>mudar&#601;</td><td>maya],open</td><td>letters</td><td>my</td><td>I</td><td>always</td><td>[with</td><td>head</td><td>my]=INT,I always open my letters myself.,Carola Emkow (p.c.),-,--
583,Podoko,adnominal,ne&#331;a</td><td>na-ne</td><td>sl&#601;ðabi</td><td>pop&#601;</td><td>ba</td><td>mudar&#601;-mena</td><td>la,see.PST</td><td>NEG-1.PL</td><td>disciple</td><td>Pope</td><td>with</td><td>head-his</td><td>NEG,We did not see the cardinal himself.,Carola Emkow (p.c.),-,--
584,German,adnominal,der</td><td>Past</td><td>höchstselbst</td><td>sprach</td><td>mit</td><td>mir,ART</td><td>Pope</td><td>INT</td><td>talked</td><td>to</td><td>me,The pope in person talked to me,the authors,-,--
585,Navajo,adnominal,t´áá</td><td>shíní</td><td>naashné,INT</td><td>1SG.PRON+SUFFIX(deriv)</td><td>I&nbsp;am&nbsp;playing,I myself am playing.,questionnaire (anonymous source informant),-,--
586,Podoko,own,aneklaya</td><td>t&#601;gu</td><td>&#331;gala,key</td><td>own</td><td>mine,I have got a key of my own.,Carola Emkow (p.c.),-,--
587,Podoko,adnominal,t&#601;guway&#601;</td><td>laki</td><td>ndatekwesh&#601;</td><td>&#331;ga-y&#601;</td><td>watar&#601;&#331;a</td><td>ak&#601;</td><td>shewariya</td><td>k&#601;&#331;a-la,Personally</td><td>CONTR</td><td>thing</td><td>can-I</td><td>say</td><td>to</td><td>decision</td><td>this-NEG,"Personally, I don't mind this decision.",Carola Emkow (p.c.),-,--
588,Shona,adv exclusive,Fáráí</td><td>hà-á-ná</td><td>ku-zvì-ìtira</td><td>ógà,Farai</td><td>NEG-NC1.3SG-have</td><td>INF-REFL-make.APPL</td><td>alone,Farai has not done it himself.,"Carola Emkow, p.c.",-,NC: nominal class marker
589,Soninke,adv exclusive,n</td><td>yinmé</td><td>ya</td><td>da</td><td>foton&#146;</td><td>wuttu,I</td><td>INT</td><td>EMPH</td><td>PRED</td><td>picture</td><td>take,I took the picture myself.,"Carola Emkow, p.c.",-,PRED: predicative auxiliary
590,German,focus particle,selbst</td><td>der</td><td>Präsident</td><td>kam</td><td>zur</td><td>Eröffnung</td><td>der</td><td>Ausstellung,even</td><td>ART</td><td>president</td><td>came</td><td>to.the</td><td>opening</td><td>of.the</td><td>exhibtion,Even the president came to the opening of the exhibtion,the authors,--,--
591,Shona,adnominal,ìní</td><td>pachá-ngù</td><td>hà-ndì-né</td><td>màrí,I</td><td>INT-3SG.POSS</td><td>NEG-NC1.1SG-have</td><td>money,I myself don't have money.,"Carola Emkow, p.c.",-,NC: nominal class marker
592,Shona,adnominal,ìrò</td><td>rokwe</td><td>pachá-ró</td><td>í-díkì,DEM</td><td>dress</td><td>INT-NC5/6.3SG.POSS</td><td>PRED.ADJ-small,The dress itself is small/short.,"Carola Emkow, p.c.",-,NC: nominal class marker; PRED.ADJ: predicative adjective
593,Shona,adnominal,íyè</td><td>mukúrúmukúrú</td><td>áchátàùrànésu</td><td>pachá-ké,he</td><td>director</td><td>he.will.speak.with.us</td><td>INT-3SG.POSS,The director himself will talk to us.,"Carola Emkow, p.c.",-,NC: nominal class marker
594,Yiddish,adnominal,der</td><td>direktor</td><td>aleyn/gufe</td><td>vet</td><td>undz</td><td>ufnemen,ART</td><td>director</td><td>INT</td><td>will</td><td>us</td><td>welcome,The director himself will welcome us.,questionnaire (source informant: Adam Albright),-,--
595,Yiddish,adnominal,inem</td><td>oazis</td><td>gufe/aleyn</td><td>iz´s</td><td>[faran&nbsp;genug]</td><td>vaser,in.the</td><td>oasis</td><td>INT</td><td>is.it</td><td>enough</td><td>water,In the oasis itself there is enough water.,questionnaire (source informant: Adam Albright),-,--
596,Soninke,adnominal,khirce</td><td>yinmé</td><td>ya</td><td>na</td><td>bissimilana,director</td><td>INT</td><td>EMPH</td><td>will</td><td>receive,The director himself will welcome us.,"Carola Emkow, p.c.",-,-
597,Soninke,adnominal,watiki</td><td>i</td><td>yinmé</td><td>ma</td><td>buro,desease</td><td>it</td><td>INT</td><td>PRED(NEG)</td><td>dangerous,The illness itself is not dangerous.,"Carola Emkow, p.c.",-,PRED: predicative auxiliary
598,Copainala Zoque,adnominal,[ma&#331;ba&nbsp;minu]</td><td>Y-ne&#660;k&#616;,will.come</td><td>3.POSS-INT,He himself will come.,"Gast, Volker (p.c.)",-,&lt;Y&gt;: indicates palatalization of the following consonant
599,Malagasy,adv exclusive,izaho</td><td>ihany</td><td>no</td><td>manokatra</td><td>ny</td><td>taratasi-ko,I</td><td>only</td><td>FOC</td><td>open</td><td>DET</td><td>letter-1SG.POSS,I always open my letters myself.,Carola Emkow (p.c.),-,-
600,Malagasy,adv exclusive,izaho</td><td>ihany</td><td>no</td><td>n-aka</td><td>ny</td><td>sary,I</td><td>only</td><td>FOC</td><td>PAST-take</td><td>DET</td><td>picture,I took the picture myself.,Carola Emkow (p.c.),-,-
612,Malagasy,adnominal,ny</td><td>raimpianakaviana</td><td>mihitsy</td><td>no</td><td>maty.,the</td><td>father.of.family</td><td>indeed</td><td>FOC</td><td>dead,The father himself dies.,Charles Randriamasimanaga (WALS expert mail),-,"FOC: focus particle; <i>mihitsy</i> is used if the head NP is a full noun phrase; with pronouns, <i>tena</i> is regularly used"
613,Malagasy,adnominal,Ilay</td><td>trano</td><td>mihitsy</td><td>no</td><td>niantonta.,the</td><td>house</td><td>indeed</td><td>FOC</td><td>collapsed,The house itself collapsed.,Charles Randriamasimanaga (WALS expert mail),-,FOC: focus particle; <i>mihitsy</i> is possible with inanimate head NPs
614,Pitjantjatjara,adnominal,mama-nyanga-nku</td><td>iluringu,father-DEM-REFL</td><td>died,The father himself died.,Heather Bowe (p.c.),-,DEM: demonstrative is used as an article here
615,Pitjantjatjara,reflexive,mama-ngku-nku</td><td>ila-Nta-nu,dead-CAUSE-PAST-REFL.3SG</td><td>father-ERG,Father killed himself.,Heather Bowe (p.c.),-,capital letters indicate retroflex articulation.
616,Pitjantjatjara,reflexive,ilu-Nta-nu-nku</td><td>paluRu,dead-CAUSE-PAST-REFL.3SG</td><td>3SG.NOM,He killed himself.,Heather Bowe (p.c.),-,capital letters indicate retroflex articulation
617,Kinyarwanda,reflexive,á-r-íiy-áang-a,3SG-PRES-REFL-hates-IMPF,He hates himself.,Carola Emkow (p.c.),-,---
618,Kinyarwanda,adnominal,perezida</td><td>ub-we</td><td>á-zaa-tw-akira,president</td><td>[PREP-3SG.POSS]=INT</td><td>3SG-FUT-1PL.OBJ-receive,The president himself will welcome us.,Carola Emkow (p.c.),-,---
619,Kinyarwanda,adnominal,nda-shaka</td><td>ku-vúga-na</td><td>na</td><td>direkteri</td><td>ub-we,1SG.PRES-want</td><td>INF-speak-SOC</td><td>with</td><td>director</td><td>[PREP-3SG.POSS]=INT,I want to talk to the director himself.,Carola Emkow (p.c.),-,SOC: sociative
620,Kinyarwanda,adv exclusive,devoirs</td><td>á-ra-z-íi-kór-er-a,homework</td><td>3SG-PRES-OBJ-REFL-do-APPL-IMPF,He does his homework himself.,Carola Emkow (p.c.),-,Reflexive is used in combination with an applicative marker to indicate adverbial-exclusive meaning.
621,Shona,reflexive,á-ká-zvì-rwádzísá,NC1.3SG-PAST-REFL-suffer.CAUS,He hurt himself.,"Carola Emkow, p.c.",-,-
622,Shona,own,ndì-né-ìmbá-yá-ngù</td><td>nd-égà</td><td>ndíní,I-have-house-NC9.GEN-1SG.POSS</td><td>NC1.1SG-alone</td><td>I.am,I have a house of my own.´(lit.: 'I am with a house I alone'),"Carola Emkow, p.c.",-,NC: nominal class marker
623,Shona,scalar focus particle,kunyàngè</td><td>mukúrúmukúrú</td><td>hà-á-ná</td><td>kúyá</td><td>pa</td><td>ku-vhùrà,even</td><td>director</td><td>NEG-NC1.3SG-have</td><td>come</td><td>to</td><td>INF-open,Even the director didn't attend the meeting (lit.: did not come to the opening).,"Carola Emkow, p.c.",-,NC: nominal class marker
626,Soninke,reflexive,a</td><td>(yinmé)</td><td>da</td><td>du</td><td>xoni,he</td><td>(INT)</td><td>PRED</td><td>REFL</td><td>hate,He hated himself.,"Carola Emkow, p.c.",-,PRED: predicative auxiliary <i>yinmé</i> is optional
627,Soninke,own,an</td><td>yinmé</td><td>lemne</td><td>ya</td><td>ni</td><td>ke,POSS.PRO</td><td>INT</td><td>child</td><td>EMPH</td><td>PRED</td><td>this,Is this your own child?,"Carola Emkow, p.c.",-,EMPH: emphatic; PRED: predicative auxiliary
628,Wolof,adv exclusive,Olga</td><td>ci</td><td>bopp-am</td><td>mooy</td><td>jang-al</td><td>ay</td><td>dom-am,Olga</td><td>PREP</td><td>head-POSS.3SG</td><td>EMPH.SUBJ</td><td>teach-BEN</td><td>INDEF</td><td>child-POSS.3SG,Olga teaches her child herself.,"Carola Emkow, p.c., source informant: Moctar Kamara",-,BEN: benefactive; EMPH.SUBJ: emphatic subject construction
629,Wolof,adnominal,directeur</td><td>bi</td><td>ci</td><td>bopp-am</td><td>dina</td><td>wax-ak</td><td>nun,director</td><td>ART</td><td>with</td><td>head-POSS.3SG</td><td>will</td><td>speak-with</td><td>us,The director himself will talk to us.,"Carola Emkow, p.c., source informant: Moctar Kamara",-,--
630,Tachelhit,reflexive,Paul</td><td>arrissaoual</td><td>d-[agayu-nss],Paul</td><td>speak</td><td>with-[head-POSS.3SG.MASC]=REFL,Paul is speaking with himself.,"Carola Emkow, p.c.",-,--
631,Tachelhit,adnominal,lmoudir</td><td>[agayu-ns],director</td><td>[head-POSS.3SG.MASC]=REFL,the director himself,"Carola Emkow, p.c.",-,-
632,Tachelhit,adnominal,lmoudir</td><td>[nttan</td><td>nit]</td><td>[aragim&nbsp;smuqol].,director</td><td>[PRON.3SG.MASC</td><td>nit]=INT</td><td>[will&nbsp;welcome&nbsp;us],The director himself will welcome us.,"Carola Emkow, p.c.",-,--
633,Tachelhit,adv exclusive,sskrrh</td><td>tssourira</td><td>nkki</td><td>nit,make</td><td>picture</td><td>[PRON.1.SG.MASC</td><td>nit]=INT,I took the picture myself.,"Carola Emkow, p.c.",-,--
634,Tachelhit,adnominal,tamadont</td><td>[ntta</td><td>nit]</td><td>our</td><td>tchqt,illness</td><td>[PRON3.SG.FEM</td><td>nit]=INT</td><td>NEG</td><td>dangerous,The illness itself is not dangerous.,"Carola Emkow, p.c.",-,--
635,Lavukaleve,reflexive,nana</td><td>ona</td><td>nga-muan</td><td>ngale</td><td>fi</td><td>lame.,mirror</td><td>in.it</td><td>POSS.1.SG-INT</td><td>me.see</td><td>FOC</td><td>HAB,I see myself in the mirror.,"Angela Terrill, WALS expert mail",-,HAB: habitual
636,Lavukaleve,adv exclusive,le-muan</td><td>tuna</td><td>ngoa</td><td>memal</td><td>foel,POSS.1.DUEX-INT</td><td>be.really</td><td>stay</td><td>HAB</td><td>FOC,We two live completely alone (by ourselves).,"Angela Terrill, WALS expert mail",-,HAB: habitual; DUEX: dual exclusive
637,Lavukaleve,reflexive,ngai</td><td>koroi-a</td><td>uia</td><td>ona,I</td><td>chop-INTR</td><td>knife</td><td>in.it,I cut myself with a knife.,"Angela Terrill, WALS expert mail",-,INTR: intransitiviser
638,Tetelcingo Nahuatl,own,naha</td><td>n&#305;-p&#596;blo</td><td>nemie&#269;&#305;hkw&#305;lf&#305;a</td><td>ini</td><td>n&#596;nka</td><td>tlahpalul&#305;stl&#305;</td><td>ka</td><td>belaha</td><td>no-m&#596;,I</td><td>1SG.PRON-Paul</td><td>I.write.to.you</td><td>DET</td><td>DEM</td><td>greetings</td><td>with</td><td>INT</td><td>1SG.POSS-hand,"I, Paul, write these greetings to you with my own hand.","Colossians 4, 18 (Wycliffe)",-,--
639,Riau indonesian,reflexive,bunuh</td><td>diri</td><td>aja</td><td>la</td><td>aku,kill</td><td>REFL</td><td>just</td><td>CONTR</td><td>I,I'll just kill myself.,David Gil (p.c.),-,--
640,Riau indonesian,reflexive,bodoh</td><td>dia</td><td>nembak</td><td>diri</td><td>sendiri,stupid</td><td>he</td><td>shoots</td><td>REFL</td><td>INT,"Stupid, he's shooting himself.",David Gil (p.c.),-,--
641,Riau indonesian,reflexive,saya</td><td>tembak</td><td>sendiri,I</td><td>shoot</td><td>INT,I shot myself.,David Gil (p.c.),-,--
642,Riau indonesian,own,abang</td><td>dia</td><td>sendiri</td><td>dia</td><td>usir,elder.brother</td><td>he</td><td>INT</td><td>he</td><td>send.away,His own brother he sent away.,David Gil (p.c.),-,--
643,Riau indonesian,adv exclusive,ini</td><td>putar</td><td>sendiri,DEM.PROX</td><td>revolve</td><td>INT,It's going around by itself.,David Gil (p.c.),-,--
644,Riau indonesian,adnominal,mister</td><td>sendiri</td><td>yang</td><td>kasi,white.person</td><td>INT</td><td>REL</td><td>give,"Mister, you yourself gave them to me.",David Gil (p.c.),-,--
645,Podoko,reflexive,kaðav&#601;</td><td>Ø</td><td>b&#601;</td><td>ina,kills</td><td>(he)</td><td>PREP</td><td>him,He kills himself.,Carola Emkow (p.c.),-,--
500,Japanese,adnominal,watashi-jishin-wa</td><td>imanotokoro</td><td>[himaga&nbsp;nai],I-INT-TOP</td><td>in.the.moment</td><td>[not.have.time],I myself do not have time now.,"Ogawa, A. (1998). Emphatische Reflexiva im Sprachvergleich: Deutsch-Japanisch. <i>STUF</i> 51, 164-178.",169,"In contrastive topic constructions, <i>jishin</i> and <i>wa</i> (can?) cooccur"
501,Kashmiri,reflexive,koorev</td><td>sajoov</td><td>panun</td><td>paan,girls.ERG</td><td>decorated</td><td>INT</td><td>REFL,The girls decorated themselves.,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton.",474,--
502,Kashmiri,reflexive,mohbath</td><td>chu</td><td>paan-as</td><td>karaan,love</td><td>be</td><td>REFL-DAT</td><td>do-PRS.PART,He loves himself.,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton.",475,--
503,Kashmiri,adv exclusive,kitaab</td><td>pey&#305;</td><td>paan-ay,book</td><td>fell</td><td>[REFL-EMPH]=INT,The book fell by itself.,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton.",477,anti-causative use of intensifier
504,Kashmiri,reflexive,s&#601;liim-an</td><td>vuch</td><td>*paan</td><td>/</td><td>panun</td><td>paan</td><td>&#601;&#601;nas</td><td>manz,Salim-ERG</td><td>saw</td><td>REFL</td><td>/</td><td>INT</td><td>REFL</td><td>mirror</td><td>in,Salim saw himself in the mirror.,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton.",483,--
505,Kashmiri,own,miira</td><td>cha</td><td>panun</td><td>gar&#305;</td><td>gatshaan,Mira</td><td>is</td><td>INT</td><td>house</td><td>go.PRES.PART,Mira is going to her own house.,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. B.: Mouton.",484,--
506,Korean,reflexive,John-i</td><td>caki</td><td>salanghanta,John-NOM</td><td>REFL</td><td>loves.,John loves himself.,Yong-Suck Kim (http://www.udel.edu/pcole/Y_S_Kim.html),-,--
507,Korean,reflexive,John-i</td><td>[Mary-ka</td><td>[neyka</td><td>caki</td><td>salanghantako]</td><td>sayngkakhantako]</td><td>malhayssta,John-NOM</td><td>[Mary-NOM</td><td>[you-NOM</td><td>REFL</td><td>loves]</td><td>thinks]</td><td>said,John said that Mary thought that you loved her/him.,Yong-Suck Kim (http://www.udel.edu/pcole/Y_S_Kim.html),-,long-distance bound use of <i>caki</i>
509,Punjabi,reflexive,raam</td><td>[apNe&nbsp;aap]</td><td>naaL</td><td>boLiaa,Ram</td><td>INT</td><td>with</td><td>spoke,Ram talked with himself.,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",649,intensifier in reflexive context
510,Punjabi,adnominal,raam</td><td>[apNe&nbsp;aap]</td><td>aaiaa,Ram</td><td>INT</td><td>came,Ram personally came.,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",649,--
511,Punjabi,adnominal,ó-ne</td><td>xud(-ne)</td><td>aakhiaa,he-ERG</td><td>INT(-ERG)</td><td>said,He himself said:...,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",655,--
